INTERSECTION,GO LIVE DATE,APPROACH1,APPROACH2,APPROACH3,latitude,longitude
Harlem-Addison,6/21/2009,NB,EB,,41.9454116,-87.8071043
Harlem-Belmont,6/18/2007,NB,WB,,41.9095886,-87.8056678
Harlem-Higgins,10/21/2008,EB,NB,,41.9813698,-87.8071158
Harlem-Northwest Highway,6/18/2007,NB,SB,,41.996992,-87.8070228
Homan-Kimball-North,10/5/2007,NB,EB,,41.9102131,-87.7119483
Illinois-Columbus,10/28/2010,NB,SB,,41.7491535,-87.7043329
Jeffery-79th,10/22/2009,SB,EB,,41.75147,-87.5760702
Jeffery-95th,11/26/2007,SB,EB,,41.7224005,-87.5749825
Kedzie-26th,11/2/2010,NB,SB,,41.8446817,-87.7049553
Kedzie-31st,5/23/2008,SB,WB,,41.8371346,-87.7047331
Kedzie-47th,3/30/2008,NB,WB,,41.8079401,-87.7040589
Kedzie-55th,10/20/2009,SB,EB,,41.7934063,-87.7034604
Kedzie-63rd,11/26/2007,NB,WB,,41.7791398,-87.7030498
Kedzie-71st,9/17/2009,SB,WB,,41.7644956,-87.702933
Kedzie-79th-Columbus,1/10/2006,SB,EB,,31.8391919,-107.6453656
Kedzie-Armitage,1/23/2009,SB,WB,,41.9173484,-87.7064879
Kedzie-Belmont,3/1/2004,SB,EB,NB,41.9393948,-87.7075444
Kedzie-Devon,6/30/2009,EB,WB,,41.9973903,-87.7099102
Kedzie-Irving Park,8/26/2008,WB,EB,,41.9575533,-87.7081224
Kilpatrick-Irving Park,10/21/2008,EB,SB,,41.9653107,-87.7452056
Kimball-Lincoln-McCormick,7/31/2008,WB,NB,,41.9947078,-87.7140464
Kostner-Division,11/30/2010,EB,WB,,41.9025537,-87.7360362
Kostner-Grand-North,3/11/2004,EB,NB,SB,41.909845,-87.736802
Kostner-Ogden,5/23/2008,SB,EB,,41.8781136,-87.6297982
Kostner-Roosevelt,3/18/2004,EB,NB,,41.8659707,-87.7346622
LaSalle-Kinzie,4/30/2004,NB,EB,,41.8893756,-87.6323687
Lafayette-87th,8/31/2009,SB,EB,,41.7361493,-87.6256263
Lake Shore-Belmont,6/22/2008,SB,EB,,41.9403638,-87.638928
Laramie-Fullerton,6/28/2008,WB,NB,,41.9241868,-87.7559386
Laramie-Irving Park,1/27/2010,EB,WB,,41.9533984,-87.7573549
Laramie-Madison,5/11/2011,EB,WB,,41.8804676,-87.7553341
Milwaukee-Devon,2/28/2009,SB,WB,,41.9975043,-87.7882306
Milwaukee-Diversey,6/29/2009,NB,EB,,41.9317164,-87.7118663
Milwaukee-Montrose,3/11/2010,NB,WB,,41.9605134,-87.7542823
Nagle-Foster,10/14/2004,WB,NB,,41.9755681,-87.7877956
Narragansett-55th-Archer,10/31/2007,EB,WB,,41.8781136,-87.6297982
Narragansett-Fullerton,11/14/2008,EB,WB,,41.9237676,-87.786114
Narragansett-Irving Park,10/14/2004,EB,WB,,41.952816,-87.7864622
Oak Park-Grand,12/15/2009,EB,WB,,41.9236558,-87.7950596
Osceola-Touhy,10/21/2008,EB,WB,,42.0115591,-87.8115928
Pulaski-55th,11/19/2004,SB,WB,,41.7933214,-87.7233125
Pulaski-63rd,3/31/2007,SB,EB,,41.778781,-87.7229168
Pulaski-71ST,9/17/2009,NB,SB,,41.7641997,-87.7225205
Pulaski-79th,9/17/2009,SB,WB,,41.7493964,-87.7214997
Pulaski-Archer-50th,10/31/2007,EB,WB,,41.8781136,-87.6297982
Pulaski-Armitage,5/31/2008,WB,EB,,41.9172294,-87.7263807
Pulaski-Belmont,5/19/2007,SB,EB,,41.9393183,-87.7270993
Pulaski-Cermak,10/11/2004,SB,WB,,41.853732,-87.724311
Pulaski-Chicago,2/20/2010,SB,EB,,41.9692006,-87.728048
Pulaski-Diversey,5/15/2009,SB,NB,,41.9317165,-87.727139
Pulaski-Division,7/22/2009,NB,SB,,41.903355,-87.666496
Pulaski-Foster,10/18/2007,SB,WB,,41.975459,-87.7284557
Pulaski-Fullerton,5/19/2007,WB,NB,,41.9247337,-87.7266828
Pulaski-Irving Park,5/19/2009,SB,WB,,41.9596185,-87.7277448
Pulaski-Lawrence,7/31/2008,SB,EB,,41.9683478,-87.7281235
Pulaski-Montrose,2/27/2009,SB,WB,,41.9608518,-87.7277046
Pulaski-North,11/30/2008,NB,WB,,41.9391102,-87.7271788
Pulaski-Peterson,10/30/2008,SB,EB,,41.9900273,-87.7281644
Pulaski-Roosevelt,7/17/2009,NB,WB,,41.866254,-87.7250408
Racine-79th,10/31/2009,SB,WB,,41.7507598,-87.6536541
Sacramento-Chicago,9/18/2009,NB,WB,,41.96732,-87.703426
Sacramento-Lake,10/20/2009,NB,SB,,41.9460064,-87.702889
Sheridan-Foster,1/26/2008,SB,WB,,41.976213,-87.655069
Sheridan-Hollywood,10/18/2007,WB,EB,,41.985226,-87.655655
State-63rd,1/18/2006,SB,WB,,41.779987,-87.625107
State-75th,8/28/2009,NB,WB,,41.758003,-87.624655
State-79th,6/26/2009,WB,NB,,41.7511365,-87.6243982
Stony Island-76th,11/30/2008,NB,SB,,41.7567465,-87.5855913
Stony Island-83rd,5/2/2008,SB,EB,,41.7441398,-87.5852553
Stony Island-89th,3/7/2009,NB,SB,,41.7331851,-87.5850414
Stony Island-95th,10/29/2009,EB,WB,,41.7224525,-87.5847748
Stony Island-79th-South Chicago,5/7/2007,SB,WB,NB,41.7514276,-87.5848963
Stony Island-Cornell-67th,11/26/2007,NB,NB,,41.7732895,-87.5851741
Vincennes-111th,11/26/2007,NB,SB,,41.6920052,-87.6635194
Vincennes-87th,11/11/2004,SB,EB,,41.7359468,-87.645445
Wells-North,6/21/2009,EB,WB,,41.8989803,-87.6342933
Wentworth-69th,10/20/2009,EB,WB,,41.7691574,-87.629713
Wentworth-Garfield,5/8/2008,NB,WB,,41.7948132,-87.6304372
Western-35th,10/11/2004,SB,NB,,41.830326,-87.685325
Western-47th,11/29/2004,SB,NB,,41.8084916,-87.6844871
Western-51st,5/7/2007,SB,WB,,41.8010828,-87.6844438
Western-55th,11/1/2003,SB,EB,,41.7939259,-87.6845079
Western-63rd,11/12/2007,NB,EB,,41.7790294,-87.683783
Western-71st,12/29/2009,SB,WB,,41.764618,-87.683153
Western-79th,5/7/2007,NB,WB,,41.750733,-87.6826358
Western-Addison,6/8/2009,NB,EB,,42.269369,-88.363512
Western-Armitage,6/30/2008,NB,SB,,41.917671,-87.6875356
Western-Cermak,12/29/2009,SB,EB,,41.854225,-87.685129
Western-Chicago,5/7/2007,NB,EB,,42.269369,-88.363512
Western-Devon,7/31/2008,NB,SB,,41.9978312,-87.6900281
Western-Diversey-Elston,7/18/2008,NB,WB,,41.9319372,-87.6880346
Western-Foster,6/5/2007,SB,WB,,37.7856975,-122.2872766
Western-Fullerton,6/29/2009,NB,SB,,41.9250752,-87.6875195
Western-Lawrence,7/31/2008,WB,EB,,41.9685365,-87.6891419
Western-Madison,6/1/2004,NB,WB,,41.8810046,-87.686556
Western-Marquette,11/30/2008,SB,WB,,41.6225695,-87.6746007
Western-Montrose,8/26/2008,NB,WB,,41.9612605,-87.6883116
Western-North,11/26/2007,NB,EB,,41.6712428,-87.548842
Western-Pershing,5/15/2008,SB,WB,,41.8228106,-87.6849588
Western-Peterson,2/26/2004,WB,SB,,41.9903813,-87.6898769
Western-Pratt,11/19/2009,NB,SB,,42.0051384,-87.6902342
Western-Touhy,10/21/2008,SB,NB,,42.0121479,-87.6901027
Western-Van Buren,5/29/2008,WB,SB,,41.8760203,-87.6860591
